Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)
128	200.000	-0.051	199.996	1.782	1.592	1.328	1771524125.817	1771524125.817	1771524125.817	1771524125.817	1771524125.817	1771524125.817
129	200.000	-0.063	199.996	4.555	0.960	1.328	1771524126.018	1771524126.018	1771524126.018	1771524126.018	1771524126.018	1771524126.018
130	200.000	0.010	200.000	4.108	4.557	1.328	1771524126.208	1771524126.208	1771524126.208	1771524126.208	1771524126.208	1771524126.208
131	200.000	-0.036	199.999	3.953	4.067	1.328	1771524126.398	1771524126.398	1771524126.398	1771524126.398	1771524126.398	1771524126.398
132	200.000	0.041	200.001	3.427	1.285	1.328	1771524126.577	1771524126.577	1771524126.577	1771524126.577	1771524126.577	1771524126.577
133	200.000	0.076	199.998	4.143	0.960	1.328	1771524126.771	1771524126.771	1771524126.771	1771524126.771	1771524126.771	1771524126.771
134	200.000	-0.054	199.998	4.627	4.399	1.328	1771524126.998	1771524126.998	1771524126.998	1771524126.998	1771524126.998	1771524126.998
135	200.000	-0.003	200.000	2.193	3.971	1.328	1771524127.187	1771524127.187	1771524127.187	1771524127.187	1771524127.187	1771524127.187
136	200.000	0.001	200.002	4.829	1.221	1.328	1771524127.412	1771524127.412	1771524127.412	1771524127.412	1771524127.412	1771524127.412
137	200.000	0.021	199.996	1.769	5.321	1.328	1771524127.640	1771524127.640	1771524127.640	1771524127.640	1771524127.640	1771524127.640
138	200.000	-0.020	200.005	3.917	4.164	1.328	1771524127.892	1771524127.892	1771524127.892	1771524127.892	1771524127.892	1771524127.892
139	200.000	0.001	200.001	4.189	1.358	1.328	1771524128.091	1771524128.092	1771524128.092	1771524128.092	1771524128.092	1771524128.092
140	200.000	0.006	200.001	2.400	0.666	1.328	1771524128.346	1771524128.346	1771524128.346	1771524128.346	1771524128.346	1771524128.346
141	200.000	0.012	200.002	4.471	4.232	1.328	1771524128.619	1771524128.619	1771524128.619	1771524128.619	1771524128.619	1771524128.619
142	200.000	-0.010	200.000	3.694	1.313	1.328	1771524128.846	1771524128.846	1771524128.846	1771524128.846	1771524128.846	1771524128.846
143	200.000	-0.053	200.001	1.517	6.178	1.328	1771524129.080	1771524129.080	1771524129.080	1771524129.080	1771524129.080	1771524129.080
144	200.000	0.017	199.998	5.225	4.347	1.328	1771524129.289	1771524129.289	1771524129.289	1771524129.289	1771524129.289	1771524129.289
145	200.000	-0.013	199.997	1.364	1.655	1.328	1771524129.530	1771524129.530	1771524129.530	1771524129.530	1771524129.530	1771524129.530
146	200.000	-0.052	200.001	3.622	0.926	1.328	1771524129.783	1771524129.783	1771524129.783	1771524129.783	1771524129.783	1771524129.783
147	200.000	-0.007	200.000	5.062	4.405	1.328	1771524130.009	1771524130.009	1771524130.009	1771524130.009	1771524130.009	1771524130.009
148	200.000	-0.010	200.001	1.007	3.506	1.328	1771524130.198	1771524130.198	1771524130.198	1771524130.198	1771524130.198	1771524130.198
149	200.000	-0.073	200.000	5.038	1.131	1.328	1771524130.471	1771524130.471	1771524130.471	1771524130.471	1771524130.471	1771524130.471
150	200.000	0.026	200.000	4.462	4.502	1.328	1771524130.690	1771524130.690	1771524130.690	1771524130.690	1771524130.690	1771524130.690
151	200.000	0.000	200.000	2.219	4.000	1.328	1771524130.881	1771524130.881	1771524130.881	1771524130.881	1771524130.881	1771524130.881
152	200.000	-0.005	199.999	4.557	1.229	1.328	1771524131.080	1771524131.080	1771524131.080	1771524131.080	1771524131.080	1771524131.080
153	200.000	-0.025	200.000	2.137	0.560	1.328	1771524131.269	1771524131.269	1771524131.269	1771524131.269	1771524131.269	1771524131.269
154	200.000	-0.019	200.003	4.959	4.326	1.328	1771524131.480	1771524131.480	1771524131.480	1771524131.480	1771524131.480	1771524131.480
