Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
400.000	399.999	0.326	1.196
400.000	400.001	0.183	4.320
400.000	399.998	0.684	2.535
400.000	400.001	0.882	2.312
400.000	399.999	0.144	0.515
400.000	400.001	0.095	2.674
400.000	399.997	0.979	2.602
400.000	400.000	0.533	1.679
400.000	400.000	0.135	5.178
400.000	400.002	0.441	2.745
400.000	400.002	0.965	2.364
400.000	400.001	0.224	0.942
400.000	400.000	0.251	3.133
400.000	400.000	0.927	2.338
400.000	399.999	0.687	1.905
400.000	400.004	0.070	4.903
400.000	399.999	0.611	2.272
400.000	400.001	1.010	2.079
400.000	400.002	0.397	0.682
400.000	399.999	0.120	2.789
400.000	400.000	0.943	2.365
400.000	400.004	0.636	1.561
400.000	399.999	0.228	5.857
400.000	399.999	0.786	2.359
400.000	400.002	0.214	0.181
400.000	400.003	0.176	2.938
400.000	399.999	0.996	2.288
400.000	399.999	0.337	1.470
400.000	400.000	0.226	3.659
400.000	400.001	0.938	2.628
400.000	400.000	0.754	1.908
400.000	400.000	0.164	6.240
400.000	400.000	0.292	2.828
400.000	400.004	0.951	2.254
400.000	400.002	0.324	1.266
400.000	399.998	0.273	6.035
400.000	400.001	0.628	2.288
400.000	400.000	0.854	2.241
400.000	399.998	0.198	6.283
400.000	400.004	0.086	3.213
400.000	400.001	0.851	2.332
400.000	399.996	0.813	2.091
400.000	399.997	0.202	6.154
400.000	399.996	0.370	2.761
400.000	399.999	0.936	2.449
400.000	400.001	0.498	1.503
400.000	400.000	0.108	4.929
