Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
200.000	200.000	2.834	4.415
200.000	199.997	1.698	3.403
200.000	199.997	2.814	2.140
200.000	200.001	3.332	1.411
200.000	199.999	2.036	0.398
200.000	200.003	2.497	4.764
200.000	200.000	2.496	4.247
200.000	200.003	1.833	2.870
200.000	199.998	3.088	1.961
200.000	199.999	2.947	1.138
200.000	200.002	1.586	5.788
200.000	200.004	2.774	4.508
200.000	200.001	1.756	3.650
200.000	200.002	2.725	2.249
200.000	199.999	3.341	1.430
200.000	199.999	1.876	0.143
200.000	200.003	2.687	4.702
200.000	199.999	2.265	4.114
200.000	200.000	1.898	2.682
200.000	200.003	3.296	1.796
200.000	200.000	2.628	0.863
200.000	199.994	1.796	5.366
200.000	200.003	2.866	4.520
200.000	200.002	1.863	3.873
200.000	200.000	2.376	2.377
200.000	200.001	3.386	1.641
200.000	200.000	2.543	0.770
200.000	199.999	1.859	5.351
200.000	200.000	2.964	4.496
200.000	200.000	1.881	3.803
200.000	200.004	2.540	2.316
200.000	199.995	3.358	1.617
200.000	199.998	2.520	0.770
200.000	199.999	1.944	5.259
200.000	199.998	2.969	4.495
200.000	200.001	1.825	3.758
200.000	199.999	2.528	2.321
200.000	199.999	3.313	1.612
200.000	199.999	2.161	0.565
200.000	199.999	2.316	4.937
200.000	200.000	2.705	4.281
200.000	199.998	1.700	2.976
200.000	200.003	3.140	2.011
200.000	199.999	3.151	1.226
200.000	199.997	1.628	6.237
200.000	200.002	2.694	4.727
200.000	200.001	2.307	4.163
200.000	200.001	2.100	2.650
200.000	200.001	3.485	1.804
200.000	199.997	2.742	0.941
200.000	200.000	1.724	5.626
200.000	200.003	2.877	4.596
200.000	199.999	2.221	4.135
200.000	200.000	2.237	2.505
200.000	199.999	3.453	1.769
200.000	200.003	2.751	0.932
200.000	200.002	1.756	5.654
200.000	200.001	2.954	4.585
200.000	200.002	1.850	3.946
200.000	200.001	2.398	2.348
200.000	199.999	3.235	1.399
200.000	200.000	1.850	0.040
200.000	200.005	2.505	4.881
200.000	199.998	2.524	4.253
200.000	199.999	1.815	2.703
200.000	199.997	3.356	1.893
200.000	200.002	2.611	0.946
200.000	199.996	1.933	5.431
200.000	200.001	2.989	4.511
200.000	200.001	1.983	3.943
200.000	200.001	2.782	2.201
200.000	200.001	3.199	1.389
200.000	200.000	1.880	0.052
200.000	199.996	2.667	4.804
200.000	200.000	2.674	4.245
200.000	200.000	1.710	3.067
200.000	200.000	3.314	1.840
200.000	200.001	2.720	0.939
200.000	199.998	1.802	5.729
200.000	200.000	2.945	4.597
200.000	200.004	2.104	3.988
200.000	200.005	2.546	2.257
200.000	199.998	3.267	1.385
200.000	200.003	1.945	0.090
200.000	199.997	2.424	4.899
200.000	199.999	2.631	4.289
200.000	199.999	1.614	3.135
200.000	200.002	3.255	1.993
200.000	200.001	3.290	1.283
200.000	199.995	2.057	0.172
200.000	199.998	2.683	4.850
200.000	199.999	2.374	4.181
200.000	200.002	2.030	2.615
200.000	199.999	3.427	1.706
200.000	199.997	2.147	0.450
200.000	199.996	2.442	4.947
200.000	200.001	2.816	4.425
200.000	199.999	1.565	3.343
200.000	199.997	3.024	2.088
