Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)
95	100.000	-0.045	100.004	16.973	0.749	0.664	1771450479.278	1771450479.278	1771450479.278	1771450479.278	1771450479.278	1771450479.278
96	100.000	0.017	100.000	9.940	0.343	0.664	1771450479.537	1771450479.537	1771450479.537	1771450479.537	1771450479.537	1771450479.537
97	100.000	0.020	100.003	3.668	4.624	0.664	1771450479.782	1771450479.782	1771450479.782	1771450479.782	1771450479.782	1771450479.782
98	100.000	0.009	99.998	6.441	3.472	0.664	1771450480.025	1771450480.025	1771450480.025	1771450480.025	1771450480.025	1771450480.025
99	100.000	-0.044	99.999	7.006	1.664	0.664	1771450480.293	1771450480.293	1771450480.293	1771450480.293	1771450480.293	1771450480.293
100	100.000	-0.009	99.997	15.998	0.898	0.664	1771450480.556	1771450480.556	1771450480.556	1771450480.556	1771450480.556	1771450480.556
101	100.000	0.034	99.999	17.631	0.631	0.664	1771450480.804	1771450480.804	1771450480.804	1771450480.804	1771450480.804	1771450480.804
102	100.000	0.003	100.001	8.390	0.109	0.664	1771450481.050	1771450481.050	1771450481.050	1771450481.050	1771450481.050	1771450481.050
103	100.000	-0.011	99.997	5.895	4.293	0.664	1771450481.296	1771450481.296	1771450481.296	1771450481.296	1771450481.296	1771450481.296
104	100.000	0.043	100.003	7.188	3.360	0.664	1771450481.531	1771450481.531	1771450481.531	1771450481.531	1771450481.531	1771450481.531
105	100.000	0.002	100.000	7.161	1.632	0.664	1771450481.802	1771450481.802	1771450481.802	1771450481.802	1771450481.802	1771450481.802
106	100.000	0.013	99.997	15.662	0.925	0.664	1771450482.054	1771450482.054	1771450482.054	1771450482.054	1771450482.054	1771450482.054
107	100.000	-0.023	99.994	16.982	0.597	0.664	1771450482.299	1771450482.299	1771450482.299	1771450482.299	1771450482.299	1771450482.299
108	100.000	0.023	100.000	8.227	0.265	0.664	1771450482.547	1771450482.547	1771450482.547	1771450482.547	1771450482.547	1771450482.547
109	100.000	0.019	100.005	4.701	4.231	0.664	1771450482.779	1771450482.779	1771450482.779	1771450482.779	1771450482.779	1771450482.779
110	100.000	0.038	99.996	6.332	3.135	0.664	1771450483.017	1771450483.017	1771450483.017	1771450483.017	1771450483.017	1771450483.017
111	100.000	-0.030	100.004	9.161	1.485	0.664	1771450483.274	1771450483.274	1771450483.274	1771450483.274	1771450483.274	1771450483.274
112	100.000	0.034	100.000	16.043	0.943	0.664	1771450483.499	1771450483.499	1771450483.499	1771450483.499	1771450483.499	1771450483.499
113	100.000	-0.020	100.001	17.125	0.654	0.664	1771450483.722	1771450483.722	1771450483.722	1771450483.722	1771450483.722	1771450483.722
114	100.000	0.005	99.999	9.493	0.240	0.664	1771450483.968	1771450483.968	1771450483.968	1771450483.968	1771450483.968	1771450483.968
